C11037 C00868 
C20842 C21898 
C16751 C13391 
C19047 C06838 
C01586 C18085 
C19319 C02703 
C05944 C15495 
C21010 C12694 
C16931 C19977 
C12000 C00819 
C00737 C15515 
C14485 C15799 
C09113 C19951 
C05123 C04582 
C06742 C18224 
C02530 C20128 
C01721 C21428 
C01314 C18753 
C06522 C00669 
C17689 C20490 
C17667 C20855 
C07354 C10724 
C07651 C07113 
C04726 C16920 
C21840 C19973 
C12640 C10934 
C19964 C17818 
C21887 C15682 
C06347 C10378 
C07268 C07251 
C21354 C13141 
C12535 C06273 
C11171 C09038 
C06767 C20576 
C07809 C10851 
C15795 C13838 
C17873 C01075 
C15895 C13800 
C00058 C19036 
C06388 C02894 
C14756 C08283 
C11666 C18927 
C18656 C18017 
C18365 C19272 
C02739 C04832 
C15919 C01673 
C18980 C16609 
C05131 C02814 
C10608 C19324 
C14714 C03465 
C14765 C20895 
C11898 C13450 
C08609 C19223 
C16299 C16588 
C14906 C17231 
C09269 C08211 
C18631 C01531 
C05003 C07503 
C17588 C15407 
C03666 C20751 
C19256 C19752 
C00711 C10665 
C08486 C17507 
C19331 C10979 
C09634 C16402 
C16653 C14953 
C09381 C17104 
C18203 C15458 
C16624 C05604 
C10157 C13876 
C04485 C07207 
C07190 C11476 
C09765 C15589 
C20473 C12253 
C14150 C02287 
C09438 C07274 
C17277 C08476 
C08087 C18229 
C09010 C18191 
C01776 C21702 
C21185 C02546 
C07913 C13689 
C17070 C20316 
C06079 C20126 
C12388 C03110 
C00458 C15478 
C16461 C08949 
C04793 C10076 
C15450 C14924 
C00814 C17700 
C04482 C08842 
C13787 C09874 
C20325 C21162 
C10763 C14697 
C18635 C00886 
C17971 C18676 
C20951 C08937 
C19792 C13038 
C15980 C18300 
C03848 C01614 
C20322 C20966 
C15287 C00792 
C10342 C04580 
C09658 C09099 
C14667 C16618 
C04894 C19397 
C02211 C00921 
C13719 C20185 
C16920 C11637 
C17775 C11389 
C00038 C12204 
C07222 C18803 
C12173 C14788 
C13781 C10030 
C18856 C02734 
C17686 C10808 
C19315 C08372 
C20744 C17940 
C02339 C17664 
C02595 C14339 
C08193 C04258 
C12229 C08760 
C07278 C12155 
C20969 C18760 
C20022 C05802 
C08772 C06127 
C09430 C11045 
C09171 C02315 
C19253 C18627 
C20965 C01548 
C21086 C14218 
C02452 C19694 
C01756 C12222 
C16908 C10289 
C21823 C09053 
C11785 C01600 
C09218 C15967 
C03968 C18257 
C11680 C02856 
C03284 C16617 
C16517 C21059 
C00107 C11268 
C00821 C17867 
C07459 C07510 
C15051 C20558 
C17864 C18667 
C09407 C06616 
C08521 C21197 
C18113 C05944 
C06523 C02638 
C00130 C06837 
C14095 C05328 
C10912 C12915 
C06635 C14585 
C11791 C15923 
C16756 C04740 
C15407 C02927 
C10126 C07759 
C11725 C21891 
C01700 C05453 
C10582 C11572 
C15476 C18168 
C08405 C21955 
C18508 C10244 
C21240 C20261 
C04599 C08643 
C08300 C19305 
C20528 C10421 
C11443 C21515 
C08470 C21606 
C09758 C09018 
C04294 C06320 
C18306 C18629 
C09034 C05212 
C08586 C18085 
C06542 C01552 
C14934 C02204 
C07827 C05269 
C15974 C09810 
C00101 C13815 
C21690 C07495 
C01054 C12136 
C06643 C21653 
C02420 C05435 
C05931 C10231 
C17423 C09610 
C17868 C00299 
C09193 C04662 
C08865 C09932 
C01127 C17395 
C12864 C07031 
C06918 C10854 
C06735 C18861 
C17743 C11740 
C18384 C18203 
C09556 C05478 
C21042 C09095 
C18143 C19658 
C09442 C06075 
C18031 C12311 
C09825 C17752 
C01217 C04087 
C08960 C09626 
C00632 C08749 
C00305 C10671 
C06860 C20814 
C20253 C18340 
C07887 C22041 
C11073 C09819 
C02505 C10723 
C14415 C19010 
C10049 C15149 
C07514 C14372 
C19929 C11519 
C07083 C21218 
C14040 C17017 
C21991 C20871 
C12149 C07139 
C02172 C06588 
C16821 C06332 
C04465 C12330 
C08101 C14237 
C18203 C12019 
C07354 C19664 
C15255 C16447 
C13311 C17887 
C18886 C01564 
C03983 C18936 
C15583 C14450 
C11009 C20527 
C00150 C07023 
C06525 C20627 
C02661 C01444 
C08153 C10811 
C15299 C00218 
C14166 C09495 
C10083 C19349 
C18588 C03296 
C17985 C15211 
C02692 C10230 
C00183 C14611 
C12673 C21386 
C07898 C16449 
C06692 C00127 
C16071 C21749 
C00977 C05839 
C08819 C06538 
C05232 C12103 
C07517 C09128 
C16954 C08675 
C08340 C06791 
C09183 C14579 
C05467 C06360 
C19650 C20201 
C17949 C18906 
C17617 C02743 
C01241 C18371 
C03822 C08471 
C17795 C07982 
C04181 C21706 
C08587 C17242 
C01394 C14995 
C00830 C12137 
C00191 C22030 
C08261 C05601 
C14478 C09051 
C03899 C08616 
C16479 C21673 
C08634 C12484 
C00609 C18941 
C21132 C17728 
C17608 C06622 
C14782 C07127 
C04864 C16193 
C15520 C20767 
C04625 C09376 
C03232 C06342 
C18214 C04871 
C20897 C16816 
C03172 C15079 
C10390 C12886 
C00635 C07554 
C21927 C18106 
C18897 C11735 
C17075 C14994 
C01733 C10109 
C01353 C11027 
C20735 C00930 
C01018 C19745 
C21122 C18220 
C06330 C00813 
C03174 C17890 
C07811 C00493 
C17760 C08393 
C15573 C14363 
C09146 C07815 
C11040 C20934 
C21301 C01233 
C06978 C01879 
C01244 C18500 
C16993 C11316 
C18134 C18083 
C19201 C21050 
C04899 C19481 
C12121 C07652 
C00264 C10951 
C19661 C18377 
C05953 C13759 
C03402 C19986 
C02363 C08523 
C03058 C10137 
C19615 C15194 
C18943 C08464 
C00394 C16214 
C19444 C20512 
C12666 C08022 
C18788 C09171 
C11370 C08247 
C14355 C09158 
C10180 C00197 
C11597 C21831 
